Category,Attribute,Value,Overall %,Star Range,%
Breakfast & Brunch,BusinessAcceptsCreditCards,True,,1-2,89.39393939393939
Breakfast & Brunch,BusinessAcceptsCreditCards,,,1-2,0.5050505050505051
Breakfast & Brunch,BusinessAcceptsCreditCards,True,,2-3,90.64261555806088
Breakfast & Brunch,BusinessAcceptsCreditCards,False,,2-3,1.0146561443066515
Breakfast & Brunch,BusinessAcceptsCreditCards,True,,3-4,88.71287128712872
Breakfast & Brunch,BusinessAcceptsCreditCards,False,,3-4,2.6732673267326734
Breakfast & Brunch,BusinessAcceptsCreditCards,True,,4-5,87.18386876281613
Breakfast & Brunch,BusinessAcceptsCreditCards,False,,4-5,4.032809295967191
Breakfast & Brunch,BikeParking,False,,1-2,34.34343434343434
Breakfast & Brunch,BikeParking,True,,1-2,27.27272727272727
Breakfast & Brunch,BikeParking,True,,2-3,45.77226606538895
Breakfast & Brunch,BikeParking,False,,2-3,31.4543404735062
Breakfast & Brunch,BikeParking,,,2-3,0.1127395715896279
Breakfast & Brunch,BikeParking,True,,3-4,60.79207920792079
Breakfast & Brunch,BikeParking,False,,3-4,18.36633663366337
Breakfast & Brunch,BikeParking,True,,4-5,67.56664388243335
Breakfast & Brunch,BikeParking,False,,4-5,13.055365686944636
Breakfast & Brunch,BikeParking,,,4-5,0.0683526999316473
Breakfast & Brunch,WheelchairAccessible,True,,2-3,6.313416009019165
Breakfast & Brunch,WheelchairAccessible,False,,2-3,0.2254791431792559
Breakfast & Brunch,WheelchairAccessible,True,,3-4,26.782178217821784
Breakfast & Brunch,WheelchairAccessible,False,,3-4,1.089108910891089
Breakfast & Brunch,WheelchairAccessible,True,,4-5,44.56596035543404
Breakfast & Brunch,WheelchairAccessible,False,,4-5,3.588516746411483
Breakfast & Brunch,OutdoorSeating,False,,1-2,66.16161616161617
Breakfast & Brunch,OutdoorSeating,True,,1-2,7.07070707070707
Breakfast & Brunch,OutdoorSeating,,,1-2,3.535353535353535
Breakfast & Brunch,OutdoorSeating,False,,2-3,63.02142051860204
Breakfast & Brunch,OutdoorSeating,True,,2-3,22.09695603156708
Breakfast & Brunch,OutdoorSeating,,,2-3,2.593010146561443
Breakfast & Brunch,OutdoorSeating,True,,3-4,47.67326732673267
Breakfast & Brunch,OutdoorSeating,False,,3-4,42.17821782178218
Breakfast & Brunch,OutdoorSeating,,,3-4,1.4356435643564358
Breakfast & Brunch,OutdoorSeating,True,,4-5,56.25427204374572
Breakfast & Brunch,OutdoorSeating,False,,4-5,28.67395762132604
Breakfast & Brunch,OutdoorSeating,,,4-5,5.878332194121668
Breakfast & Brunch,HasTV,True,,1-2,50.505050505050505
Breakfast & Brunch,HasTV,False,,1-2,22.727272727272727
Breakfast & Brunch,HasTV,,,1-2,0.5050505050505051
Breakfast & Brunch,HasTV,True,,2-3,57.83540022547914
Breakfast & Brunch,HasTV,False,,2-3,26.83201803833145
Breakfast & Brunch,HasTV,,,2-3,0.1127395715896279
Breakfast & Brunch,HasTV,True,,3-4,60.04950495049505
Breakfast & Brunch,HasTV,False,,3-4,29.356435643564357
