Category,Attribute,Value,Overall %,Star Range,%
Event Planning & Services,BusinessAcceptsCreditCards,True,,1-2,93.69863013698632
Event Planning & Services,BusinessAcceptsCreditCards,False,,1-2,1.643835616438356
Event Planning & Services,BusinessAcceptsCreditCards,True,,2-3,93.58460304731356
Event Planning & Services,BusinessAcceptsCreditCards,False,,2-3,1.202886928628709
Event Planning & Services,BusinessAcceptsCreditCards,,,2-3,0.0801924619085805
Event Planning & Services,BusinessAcceptsCreditCards,True,,3-4,92.97812279463656
Event Planning & Services,BusinessAcceptsCreditCards,False,,3-4,2.2582921665490474
Event Planning & Services,BusinessAcceptsCreditCards,True,,4-5,90.89152635937069
Event Planning & Services,BusinessAcceptsCreditCards,False,,4-5,2.9257521391112338
Event Planning & Services,BusinessAcceptsCreditCards,,,4-5,0.0276014352746342
Event Planning & Services,BikeParking,False,,1-2,2.73972602739726
Event Planning & Services,BikeParking,True,,1-2,2.4657534246575343
Event Planning & Services,BikeParking,True,,2-3,16.439454691259023
Event Planning & Services,BikeParking,False,,2-3,8.09943865276664
Event Planning & Services,BikeParking,True,,3-4,34.685956245589274
Event Planning & Services,BikeParking,False,,3-4,10.621030345800987
Event Planning & Services,BikeParking,,,3-4,0.0352858151023288
Event Planning & Services,BikeParking,True,,4-5,44.13469500414022
Event Planning & Services,BikeParking,False,,4-5,10.18492961634005
Event Planning & Services,BikeParking,,,4-5,0.0828043058239028
Event Planning & Services,WheelchairAccessible,True,,1-2,5.47945205479452
Event Planning & Services,WheelchairAccessible,True,,2-3,10.024057738572576
Event Planning & Services,WheelchairAccessible,False,,2-3,0.6415396952686447
Event Planning & Services,WheelchairAccessible,True,,3-4,23.14749470712773
Event Planning & Services,WheelchairAccessible,False,,3-4,1.1291460832745237
Event Planning & Services,WheelchairAccessible,,,3-4,0.0705716302046577
Event Planning & Services,WheelchairAccessible,True,,4-5,33.14932376483577
Event Planning & Services,WheelchairAccessible,False,,4-5,3.5605851504278223
Event Planning & Services,WheelchairAccessible,,,4-5,0.0276014352746342
Event Planning & Services,OutdoorSeating,False,,1-2,2.73972602739726
Event Planning & Services,OutdoorSeating,True,,1-2,1.095890410958904
Event Planning & Services,OutdoorSeating,False,,2-3,11.226944667201282
Event Planning & Services,OutdoorSeating,True,,2-3,9.30232558139535
Event Planning & Services,OutdoorSeating,,,2-3,0.3207698476343223
Event Planning & Services,OutdoorSeating,True,,3-4,21.912491178546222
Event Planning & Services,OutdoorSeating,False,,3-4,18.03105151729005
Event Planning & Services,OutdoorSeating,,,3-4,0.5998588567395907
Event Planning & Services,OutdoorSeating,True,,4-5,21.22550372619376
Event Planning & Services,OutdoorSeating,False,,4-5,14.04913055478885
Event Planning & Services,OutdoorSeating,,,4-5,1.7388904223019597
