Category,Attribute,Value,Overall %,Star Range,%
Food,BusinessAcceptsCreditCards,True,,1-2,83.71954842543077
Food,BusinessAcceptsCreditCards,False,,1-2,0.4753416518122401
Food,BusinessAcceptsCreditCards,,,1-2,0.29708853238265
Food,BusinessAcceptsCreditCards,True,,2-3,88.09184763260947
Food,BusinessAcceptsCreditCards,False,,2-3,0.7831968672125312
Food,BusinessAcceptsCreditCards,,,2-3,0.0711997152011392
Food,BusinessAcceptsCreditCards,True,,3-4,87.5140837857216
Food,BusinessAcceptsCreditCards,False,,3-4,1.8334528321212744
Food,BusinessAcceptsCreditCards,,,3-4,0.0614565195124449
Food,BusinessAcceptsCreditCards,True,,4-5,84.8526536818478
Food,BusinessAcceptsCreditCards,False,,4-5,3.996814133661574
Food,BusinessAcceptsCreditCards,,,4-5,0.0289624212584172
Food,BikeParking,True,,1-2,27.807486631016044
Food,BikeParking,False,,1-2,24.598930481283425
Food,BikeParking,,,1-2,0.23767082590612
Food,BikeParking,True,,2-3,43.16482734069064
Food,BikeParking,False,,2-3,23.74510501957992
Food,BikeParking,,,2-3,0.0533997864008543
Food,BikeParking,True,,3-4,56.2019870941309
Food,BikeParking,False,,3-4,17.945303697633925
Food,BikeParking,,,3-4,0.0921847792686674
Food,BikeParking,True,,4-5,62.26920570559699
Food,BikeParking,False,,4-5,13.33719498950112
Food,BikeParking,,,4-5,0.0579248425168344
Food,WheelchairAccessible,True,,1-2,6.714200831847891
Food,WheelchairAccessible,False,,1-2,0.35650623885918
Food,WheelchairAccessible,True,,2-3,9.487362050551798
Food,WheelchairAccessible,False,,2-3,0.4271982912068351
Food,WheelchairAccessible,True,,3-4,19.102734815118303
Food,WheelchairAccessible,False,,3-4,0.9730615589470448
Food,WheelchairAccessible,,,3-4,0.0204855065041483
Food,WheelchairAccessible,True,,4-5,34.675258851639995
Food,WheelchairAccessible,False,,4-5,3.31619723408877
Food,WheelchairAccessible,,,4-5,0.0072406053146043
Food,OutdoorSeating,False,,1-2,39.750445632798574
Food,OutdoorSeating,True,,1-2,12.655971479500892
Food,OutdoorSeating,,,1-2,3.0303030303030303
Food,OutdoorSeating,False,,2-3,35.15485938056248
Food,OutdoorSeating,True,,2-3,20.43431826272695
Food,OutdoorSeating,,,2-3,2.046991812032752
Food,OutdoorSeating,True,,3-4,31.88569087370685
Food,OutdoorSeating,False,,3-4,28.3007272354809
Food,OutdoorSeating,,,3-4,1.433985455290382
Food,OutdoorSeating,True,,4-5,33.78466439794367
