Category,Attribute,Value,Overall %,Star Range,%
Health & Medical,BusinessAcceptsCreditCards,True,,1-2,59.43204868154158
Health & Medical,BusinessAcceptsCreditCards,False,,1-2,1.8255578093306288
Health & Medical,BusinessAcceptsCreditCards,True,,2-3,72.67326732673267
Health & Medical,BusinessAcceptsCreditCards,False,,2-3,1.9306930693069304
Health & Medical,BusinessAcceptsCreditCards,,,2-3,0.2475247524752475
Health & Medical,BusinessAcceptsCreditCards,True,,3-4,77.51589973812196
Health & Medical,BusinessAcceptsCreditCards,False,,3-4,3.1425364758698096
Health & Medical,BusinessAcceptsCreditCards,,,3-4,0.1122334455667789
Health & Medical,BusinessAcceptsCreditCards,True,,4-5,83.18009734991888
Health & Medical,BusinessAcceptsCreditCards,False,,4-5,2.298539751216874
Health & Medical,BusinessAcceptsCreditCards,,,4-5,0.0811249323958896
Health & Medical,BikeParking,True,,1-2,9.533468559837727
Health & Medical,BikeParking,False,,1-2,4.86815415821501
Health & Medical,BikeParking,True,,2-3,14.05940594059406
Health & Medical,BikeParking,False,,2-3,6.485148514851486
Health & Medical,BikeParking,,,2-3,0.0495049504950495
Health & Medical,BikeParking,True,,3-4,19.266741488963717
Health & Medical,BikeParking,False,,3-4,5.910961466517022
Health & Medical,BikeParking,,,3-4,0.0374111485222596
Health & Medical,BikeParking,True,,4-5,25.878853434288807
Health & Medical,BikeParking,False,,4-5,4.678204434829638
Health & Medical,BikeParking,,,4-5,0.1081665765278529
Health & Medical,WheelchairAccessible,True,,1-2,11.359026369168356
Health & Medical,WheelchairAccessible,False,,1-2,0.2028397565922921
Health & Medical,WheelchairAccessible,True,,2-3,11.287128712871288
Health & Medical,WheelchairAccessible,False,,2-3,0.396039603960396
Health & Medical,WheelchairAccessible,True,,3-4,12.34567901234568
Health & Medical,WheelchairAccessible,False,,3-4,0.710811821922933
Health & Medical,WheelchairAccessible,,,3-4,0.0374111485222596
Health & Medical,WheelchairAccessible,True,,4-5,18.334234721471063
Health & Medical,WheelchairAccessible,False,,4-5,1.946998377501352
Health & Medical,WheelchairAccessible,,,4-5,0.0270416441319632
Health & Medical,OutdoorSeating,False,,1-2,0.4056795131845842
Health & Medical,OutdoorSeating,False,,2-3,0.099009900990099
Health & Medical,OutdoorSeating,True,,2-3,0.0495049504950495
Health & Medical,OutdoorSeating,False,,3-4,0.299289188178077
Health & Medical,OutdoorSeating,True,,3-4,0.1870557426112981
Health & Medical,OutdoorSeating,,,3-4,0.0374111485222596
Health & Medical,OutdoorSeating,True,,4-5,0.5137912385073012
Health & Medical,OutdoorSeating,False,,4-5,0.2704164413196322
Health & Medical,HasTV,False,,1-2,0.2028397565922921
Health & Medical,HasTV,True,,2-3,0.099009900990099
Health & Medical,HasTV,False,,3-4,0.299289188178077
Health & Medical,HasTV,True,,3-4,0.1496445940890385
Health & Medical,HasTV,False,,4-5,0.3244997295835586
Health & Medical,HasTV,True,,4-5,0.2974580854515954
Health & Medical,WiFi,u'free',,1-2,5.070993914807302
Health & Medical,WiFi,u'no',,1-2,3.2454361054766734
Health & Medical,WiFi,'free',,1-2,0.8113590263691683
Health & Medical,WiFi,'no',,1-2,0.4056795131845842
Health & Medical,WiFi,u'free',,2-3,8.663366336633663
Health & Medical,WiFi,u'no',,2-3,2.920792079207921
Health & Medical,WiFi,'free',,2-3,0.3465346534653465
Health & Medical,WiFi,'no',,2-3,0.297029702970297
Health & Medical,WiFi,u'paid',,2-3,0.297029702970297
Health & Medical,WiFi,u'free',,3-4,14.964459408903856
Health & Medical,WiFi,u'no',,3-4,4.526748971193416
