Category,Attribute,Value,Overall %,Star Range,%
Home & Garden,BusinessAcceptsCreditCards,True,,1-2,88.0
Home & Garden,BusinessAcceptsCreditCards,False,,1-2,4.444444444444445
Home & Garden,BusinessAcceptsCreditCards,True,,2-3,91.51873767258382
Home & Garden,BusinessAcceptsCreditCards,False,,2-3,2.071005917159764
Home & Garden,BusinessAcceptsCreditCards,True,,3-4,92.44444444444444
Home & Garden,BusinessAcceptsCreditCards,False,,3-4,1.5238095238095235
Home & Garden,BusinessAcceptsCreditCards,,,3-4,0.1269841269841269
Home & Garden,BusinessAcceptsCreditCards,True,,4-5,91.44411473788328
Home & Garden,BusinessAcceptsCreditCards,False,,4-5,2.4233432245301683
Home & Garden,BusinessAcceptsCreditCards,,,4-5,0.049455984174085
Home & Garden,BikeParking,True,,1-2,25.333333333333336
Home & Garden,BikeParking,False,,1-2,20.0
Home & Garden,BikeParking,,,1-2,0.8888888888888888
Home & Garden,BikeParking,True,,2-3,42.30769230769231
Home & Garden,BikeParking,False,,2-3,23.47140039447732
Home & Garden,BikeParking,,,2-3,0.0986193293885601
Home & Garden,BikeParking,True,,3-4,48.0
Home & Garden,BikeParking,False,,3-4,20.952380952380956
Home & Garden,BikeParking,True,,4-5,50.9891196834817
Home & Garden,BikeParking,False,,4-5,13.204747774480714
Home & Garden,BikeParking,,,4-5,0.1483679525222552
Home & Garden,WheelchairAccessible,True,,1-2,13.333333333333334
Home & Garden,WheelchairAccessible,False,,1-2,2.2222222222222223
Home & Garden,WheelchairAccessible,True,,2-3,16.074950690335303
Home & Garden,WheelchairAccessible,False,,2-3,0.4930966469428008
Home & Garden,WheelchairAccessible,True,,3-4,22.22222222222222
Home & Garden,WheelchairAccessible,False,,3-4,1.4603174603174605
Home & Garden,WheelchairAccessible,,,3-4,0.0634920634920634
Home & Garden,WheelchairAccessible,True,,4-5,23.590504451038576
Home & Garden,WheelchairAccessible,False,,4-5,4.253214638971316
Home & Garden,WheelchairAccessible,,,4-5,0.049455984174085
