Category,Attribute,Value,Overall %,Star Range,%
Hotels & Travel,BusinessAcceptsCreditCards,True,,1-2,92.7710843373494
Hotels & Travel,BusinessAcceptsCreditCards,False,,1-2,2.108433734939759
Hotels & Travel,BusinessAcceptsCreditCards,True,,2-3,92.88840262582056
Hotels & Travel,BusinessAcceptsCreditCards,,,2-3,0.2188183807439825
Hotels & Travel,BusinessAcceptsCreditCards,False,,2-3,0.2188183807439825
Hotels & Travel,BusinessAcceptsCreditCards,True,,3-4,89.8365316275764
Hotels & Travel,BusinessAcceptsCreditCards,False,,3-4,1.0660980810234542
Hotels & Travel,BusinessAcceptsCreditCards,True,,4-5,76.94831829368334
Hotels & Travel,BusinessAcceptsCreditCards,False,,4-5,2.871205906480722
Hotels & Travel,BikeParking,False,,1-2,0.3012048192771084
Hotels & Travel,BikeParking,True,,2-3,4.157549234135667
Hotels & Travel,BikeParking,False,,2-3,2.735229759299781
Hotels & Travel,BikeParking,True,,3-4,9.097370291400145
Hotels & Travel,BikeParking,False,,3-4,3.482587064676617
Hotels & Travel,BikeParking,True,,4-5,17.719442165709598
Hotels & Travel,BikeParking,False,,4-5,3.7735849056603774
Hotels & Travel,WheelchairAccessible,True,,1-2,4.216867469879518
Hotels & Travel,WheelchairAccessible,True,,2-3,6.017505470459518
Hotels & Travel,WheelchairAccessible,False,,2-3,0.1094091903719912
Hotels & Travel,WheelchairAccessible,True,,3-4,14.285714285714285
Hotels & Travel,WheelchairAccessible,False,,3-4,0.4264392324093816
Hotels & Travel,WheelchairAccessible,,,3-4,0.1421464108031272
Hotels & Travel,WheelchairAccessible,True,,4-5,14.35602953240361
Hotels & Travel,WheelchairAccessible,False,,4-5,2.3789991796554557
Hotels & Travel,OutdoorSeating,False,,1-2,0.6024096385542169
Hotels & Travel,OutdoorSeating,True,,1-2,0.3012048192771084
Hotels & Travel,OutdoorSeating,False,,2-3,4.595185995623632
Hotels & Travel,OutdoorSeating,True,,2-3,3.282275711159737
Hotels & Travel,OutdoorSeating,True,,3-4,7.036247334754798
Hotels & Travel,OutdoorSeating,False,,3-4,6.823027718550106
Hotels & Travel,OutdoorSeating,,,3-4,0.1421464108031272
Hotels & Travel,OutdoorSeating,True,,4-5,6.6447908121411
Hotels & Travel,OutdoorSeating,False,,4-5,4.5118949958982775
Hotels & Travel,OutdoorSeating,,,4-5,0.8203445447087777
Hotels & Travel,HasTV,True,,1-2,0.6024096385542169
Hotels & Travel,HasTV,True,,2-3,8.096280087527353
Hotels & Travel,HasTV,False,,2-3,0.1094091903719912
Hotels & Travel,HasTV,True,,3-4,11.442786069651742
Hotels & Travel,HasTV,False,,3-4,1.4925373134328357
Hotels & Travel,HasTV,True,,4-5,7.054963084495489
Hotels & Travel,HasTV,False,,4-5,3.855619360131255
Hotels & Travel,WiFi,u'free',,1-2,45.48192771084337
Hotels & Travel,WiFi,'free',,1-2,24.09638554216868
Hotels & Travel,WiFi,u'no',,1-2,6.325301204819277
Hotels & Travel,WiFi,u'paid',,1-2,3.0120481927710845
Hotels & Travel,WiFi,'no',,1-2,2.710843373493976
Hotels & Travel,WiFi,'paid',,1-2,0.9036144578313252
Hotels & Travel,WiFi,u'free',,2-3,57.439824945295406
Hotels & Travel,WiFi,'free',,2-3,17.39606126914661
Hotels & Travel,WiFi,u'paid',,2-3,4.048140043763676
Hotels & Travel,WiFi,u'no',,2-3,3.719912472647703
Hotels & Travel,WiFi,'no',,2-3,0.9846827133479212
