Category,Attribute,Value,Overall %,Star Range,%
Local Services,BusinessAcceptsCreditCards,True,,1-2,84.55008488964346
Local Services,BusinessAcceptsCreditCards,False,,1-2,10.186757215619696
Local Services,BusinessAcceptsCreditCards,,,1-2,0.1697792869269949
Local Services,BusinessAcceptsCreditCards,True,,2-3,89.97555012224939
Local Services,BusinessAcceptsCreditCards,False,,2-3,6.47921760391198
Local Services,BusinessAcceptsCreditCards,,,2-3,0.0611246943765281
Local Services,BusinessAcceptsCreditCards,True,,3-4,88.75953432356484
Local Services,BusinessAcceptsCreditCards,False,,3-4,6.864712966680048
Local Services,BusinessAcceptsCreditCards,,,3-4,0.0802890405459654
Local Services,BusinessAcceptsCreditCards,True,,4-5,87.19346049046321
Local Services,BusinessAcceptsCreditCards,False,,4-5,9.346049046321529
Local Services,BusinessAcceptsCreditCards,,,4-5,0.0817438692098092
Local Services,BikeParking,True,,1-2,10.0169779286927
Local Services,BikeParking,False,,1-2,9.168081494057724
Local Services,BikeParking,True,,2-3,19.559902200489
Local Services,BikeParking,False,,2-3,10.513447432762836
Local Services,BikeParking,True,,3-4,26.334805299076677
Local Services,BikeParking,False,,3-4,8.430349257326375
Local Services,BikeParking,,,3-4,0.1204335608189482
Local Services,BikeParking,True,,4-5,27.87465940054496
Local Services,BikeParking,False,,4-5,6.103542234332425
Local Services,BikeParking,,,4-5,0.108991825613079
Local Services,WheelchairAccessible,True,,1-2,2.3769100169779285
Local Services,WheelchairAccessible,False,,1-2,0.5093378607809848
Local Services,WheelchairAccessible,True,,2-3,6.051344743276284
Local Services,WheelchairAccessible,False,,2-3,0.3667481662591687
Local Services,WheelchairAccessible,True,,3-4,9.51425130469691
Local Services,WheelchairAccessible,False,,3-4,0.8028904054596547
Local Services,WheelchairAccessible,,,3-4,0.0401445202729827
Local Services,WheelchairAccessible,True,,4-5,14.35967302452316
Local Services,WheelchairAccessible,False,,4-5,1.7711171662125342
Local Services,WheelchairAccessible,,,4-5,0.0272479564032697
Local Services,OutdoorSeating,True,,1-2,0.1697792869269949
Local Services,OutdoorSeating,False,,2-3,0.3667481662591687
Local Services,OutdoorSeating,True,,2-3,0.0611246943765281
Local Services,OutdoorSeating,True,,3-4,0.4415897230028101
Local Services,OutdoorSeating,False,,3-4,0.2408671216378964
Local Services,OutdoorSeating,False,,4-5,0.6811989100817438
Local Services,OutdoorSeating,True,,4-5,0.5722070844686649
Local Services,OutdoorSeating,,,4-5,0.0272479564032697
Local Services,HasTV,True,,2-3,0.3667481662591687
Local Services,HasTV,True,,3-4,0.5218787635487756
Local Services,HasTV,False,,3-4,0.1605780810919309
Local Services,HasTV,False,,4-5,0.4904632152588556
