Category,Attribute,Value,Overall %,Star Range,%
Restaurants,BusinessAcceptsCreditCards,True,,1-2,83.17647058823529
Restaurants,BusinessAcceptsCreditCards,False,,1-2,0.5882352941176471
Restaurants,BusinessAcceptsCreditCards,,,1-2,0.2941176470588235
Restaurants,BusinessAcceptsCreditCards,True,,2-3,86.51817116060961
Restaurants,BusinessAcceptsCreditCards,False,,2-3,1.042073726716165
Restaurants,BusinessAcceptsCreditCards,,,2-3,0.0651296079197603
Restaurants,BusinessAcceptsCreditCards,True,,3-4,87.76049766718506
Restaurants,BusinessAcceptsCreditCards,False,,3-4,2.0476931052358736
Restaurants,BusinessAcceptsCreditCards,,,3-4,0.0518403317781233
Restaurants,BusinessAcceptsCreditCards,True,,4-5,83.96235163204749
Restaurants,BusinessAcceptsCreditCards,False,,4-5,3.8853857566765577
Restaurants,BusinessAcceptsCreditCards,,,4-5,0.0278189910979228
Restaurants,BikeParking,False,,1-2,23.823529411764703
Restaurants,BikeParking,True,,1-2,23.52941176470588
Restaurants,BikeParking,,,1-2,0.1764705882352941
Restaurants,BikeParking,True,,2-3,36.18601016021884
Restaurants,BikeParking,False,,2-3,23.40758108636186
Restaurants,BikeParking,,,2-3,0.0651296079197603
Restaurants,BikeParking,True,,3-4,51.658890616899946
Restaurants,BikeParking,False,,3-4,18.45515811301192
Restaurants,BikeParking,,,3-4,0.0570243649559357
Restaurants,BikeParking,True,,4-5,57.599221068249264
Restaurants,BikeParking,False,,4-5,15.485905044510387
Restaurants,BikeParking,,,4-5,0.0695474777448071
Restaurants,WheelchairAccessible,True,,1-2,4.117647058823529
Restaurants,WheelchairAccessible,False,,1-2,0.6470588235294118
Restaurants,WheelchairAccessible,True,,2-3,8.597108245408362
Restaurants,WheelchairAccessible,False,,2-3,0.5991923928617949
Restaurants,WheelchairAccessible,,,2-3,0.013025921583952
Restaurants,WheelchairAccessible,True,,3-4,19.813374805598755
Restaurants,WheelchairAccessible,False,,3-4,1.1923276308968378
Restaurants,WheelchairAccessible,,,3-4,0.015552099533437
Restaurants,WheelchairAccessible,True,,4-5,34.31936201780415
Restaurants,WheelchairAccessible,False,,4-5,3.12036350148368
Restaurants,WheelchairAccessible,,,4-5,0.0231824925816023
Restaurants,OutdoorSeating,False,,1-2,49.23529411764706
Restaurants,OutdoorSeating,True,,1-2,14.411764705882351
Restaurants,OutdoorSeating,,,1-2,3.058823529411765
Restaurants,OutdoorSeating,False,,2-3,51.79106421779341
Restaurants,OutdoorSeating,True,,2-3,26.20815422691156
Restaurants,OutdoorSeating,,,2-3,1.9538882375928095
Restaurants,OutdoorSeating,False,,3-4,45.41213063763608
Restaurants,OutdoorSeating,True,,3-4,40.730948678071535
Restaurants,OutdoorSeating,,,3-4,1.5966822187662002
Restaurants,OutdoorSeating,True,,4-5,43.397626112759646
Restaurants,OutdoorSeating,False,,4-5,36.86016320474778
Restaurants,OutdoorSeating,,,4-5,5.457158753709199
Restaurants,HasTV,True,,1-2,55.17647058823529
Restaurants,HasTV,False,,1-2,9.705882352941178
Restaurants,HasTV,,,1-2,0.1764705882352941
Restaurants,HasTV,True,,2-3,63.82701576136511
Restaurants,HasTV,False,,2-3,12.101081151491467
Restaurants,HasTV,,,2-3,0.0521036863358082
Restaurants,HasTV,True,,3-4,67.17470191809227
Restaurants,HasTV,False,,3-4,16.796267496111973
Restaurants,HasTV,,,3-4,0.0207361327112493
Restaurants,HasTV,True,,4-5,58.10923590504451
Restaurants,HasTV,False,,4-5,25.023182492581604
Restaurants,HasTV,,,4-5,0.0324554896142433
Restaurants,WiFi,u'free',,1-2,15.235294117647058
Restaurants,WiFi,'free',,1-2,14.529411764705882
Restaurants,WiFi,u'no',,1-2,12.117647058823527
Restaurants,WiFi,'no',,1-2,10.764705882352942
Restaurants,WiFi,u'paid',,1-2,0.3529411764705882
Restaurants,WiFi,'paid',,1-2,0.2352941176470588
Restaurants,WiFi,,,1-2,0.1176470588235294
Restaurants,WiFi,u'free',,2-3,18.574964178715643
Restaurants,WiFi,u'no',,2-3,18.52286049237984
Restaurants,WiFi,'free',,2-3,13.078025270287874
Restaurants,WiFi,'no',,2-3,12.843558681776734
Restaurants,WiFi,u'paid',,2-3,0.3647258043506578
Restaurants,WiFi,'paid',,2-3,0.1953888237592809
Restaurants,WiFi,,,2-3,0.1823629021753289
Restaurants,WiFi,u'free',,3-4,27.51684810782789
Restaurants,WiFi,u'no',,3-4,23.28667703473302
Restaurants,WiFi,'free',,3-4,11.850699844479005
Restaurants,WiFi,'no',,3-4,11.57594608605495
Restaurants,WiFi,u'paid',,3-4,0.39917055469155
Restaurants,WiFi,'paid',,3-4,0.2125453602903058
