Category,Attribute,Value,Overall %,Star Range,%
Sandwiches,BusinessAcceptsCreditCards,True,,1-2,82.1256038647343
Sandwiches,BusinessAcceptsCreditCards,False,,1-2,0.4830917874396135
Sandwiches,BusinessAcceptsCreditCards,,,1-2,0.4830917874396135
Sandwiches,BusinessAcceptsCreditCards,True,,2-3,88.4858044164038
Sandwiches,BusinessAcceptsCreditCards,False,,2-3,0.7097791798107256
Sandwiches,BusinessAcceptsCreditCards,,,2-3,0.1577287066246056
Sandwiches,BusinessAcceptsCreditCards,True,,3-4,90.93937375083276
Sandwiches,BusinessAcceptsCreditCards,False,,3-4,1.3657561625582946
Sandwiches,BusinessAcceptsCreditCards,,,3-4,0.1332445036642238
Sandwiches,BusinessAcceptsCreditCards,True,,4-5,86.18181818181819
Sandwiches,BusinessAcceptsCreditCards,False,,4-5,3.608391608391608
Sandwiches,BusinessAcceptsCreditCards,,,4-5,0.0279720279720279
Sandwiches,BikeParking,False,,1-2,18.84057971014493
Sandwiches,BikeParking,True,,1-2,16.908212560386474
Sandwiches,BikeParking,,,1-2,0.966183574879227
Sandwiches,BikeParking,True,,2-3,37.22397476340694
Sandwiches,BikeParking,False,,2-3,22.00315457413249
Sandwiches,BikeParking,,,2-3,0.0788643533123028
Sandwiches,BikeParking,True,,3-4,55.96269153897402
Sandwiches,BikeParking,False,,3-4,18.05463024650233
Sandwiches,BikeParking,,,3-4,0.0999333777481678
Sandwiches,BikeParking,True,,4-5,62.37762237762238
Sandwiches,BikeParking,False,,4-5,14.237762237762238
Sandwiches,BikeParking,,,4-5,0.0279720279720279
Sandwiches,WheelchairAccessible,True,,1-2,6.763285024154589
Sandwiches,WheelchairAccessible,False,,1-2,1.932367149758454
Sandwiches,WheelchairAccessible,True,,2-3,11.67192429022082
Sandwiches,WheelchairAccessible,False,,2-3,0.7097791798107256
Sandwiches,WheelchairAccessible,True,,3-4,21.552298467688207
Sandwiches,WheelchairAccessible,False,,3-4,0.9327115256495668
Sandwiches,WheelchairAccessible,True,,4-5,36.58741258741259
Sandwiches,WheelchairAccessible,False,,4-5,3.300699300699301
Sandwiches,OutdoorSeating,False,,1-2,44.44444444444444
Sandwiches,OutdoorSeating,True,,1-2,9.178743961352655
Sandwiches,OutdoorSeating,,,1-2,4.3478260869565215
Sandwiches,OutdoorSeating,False,,2-3,47.397476340694006
Sandwiches,OutdoorSeating,True,,2-3,23.58044164037855
Sandwiches,OutdoorSeating,,,2-3,1.892744479495268
Sandwiches,OutdoorSeating,False,,3-4,43.43770819453698
Sandwiches,OutdoorSeating,True,,3-4,39.04063957361758
Sandwiches,OutdoorSeating,,,3-4,2.3984010659560293
Sandwiches,OutdoorSeating,True,,4-5,48.13986013986014
Sandwiches,OutdoorSeating,False,,4-5,34.18181818181818
Sandwiches,OutdoorSeating,,,4-5,4.811188811188812
Sandwiches,HasTV,True,,1-2,42.99516908212561
Sandwiches,HasTV,False,,1-2,8.695652173913043
Sandwiches,HasTV,,,1-2,0.4830917874396135
Sandwiches,HasTV,True,,2-3,61.59305993690851
