Category,Attribute,Value,Overall %,Star Range,%
Shopping,BusinessAcceptsCreditCards,True,,1-2,85.25
Shopping,BusinessAcceptsCreditCards,False,,1-2,2.75
Shopping,BusinessAcceptsCreditCards,True,,2-3,89.56870611835507
Shopping,BusinessAcceptsCreditCards,False,,2-3,1.579739217652959
Shopping,BusinessAcceptsCreditCards,,,2-3,0.0752256770310932
Shopping,BusinessAcceptsCreditCards,True,,3-4,89.51841359773371
Shopping,BusinessAcceptsCreditCards,False,,3-4,2.191739973162368
Shopping,BusinessAcceptsCreditCards,,,3-4,0.0298195914715968
Shopping,BusinessAcceptsCreditCards,True,,4-5,90.90302491103202
Shopping,BusinessAcceptsCreditCards,False,,4-5,2.3687722419928825
Shopping,BusinessAcceptsCreditCards,,,4-5,0.0222419928825622
Shopping,BikeParking,True,,1-2,31.25
Shopping,BikeParking,False,,1-2,18.875
Shopping,BikeParking,,,1-2,0.375
Shopping,BikeParking,True,,2-3,44.95987963891675
Shopping,BikeParking,False,,2-3,22.668004012036107
Shopping,BikeParking,,,2-3,0.0501504513540621
Shopping,BikeParking,True,,3-4,51.37915610556135
Shopping,BikeParking,False,,3-4,19.651110779782314
Shopping,BikeParking,,,3-4,0.0596391829431936
Shopping,BikeParking,True,,4-5,58.89679715302491
Shopping,BikeParking,False,,4-5,12.655693950177934
Shopping,BikeParking,,,4-5,0.0778469750889679
Shopping,WheelchairAccessible,True,,1-2,12.75
Shopping,WheelchairAccessible,False,,1-2,1.375
Shopping,WheelchairAccessible,True,,2-3,14.24272818455366
Shopping,WheelchairAccessible,False,,2-3,0.6018054162487462
Shopping,WheelchairAccessible,True,,3-4,19.09944833755777
Shopping,WheelchairAccessible,False,,3-4,1.41643059490085
Shopping,WheelchairAccessible,,,3-4,0.0149097957357984
Shopping,WheelchairAccessible,True,,4-5,27.91370106761566
Shopping,WheelchairAccessible,False,,4-5,3.447508896797153
Shopping,WheelchairAccessible,,,4-5,0.0222419928825622
Shopping,OutdoorSeating,True,,1-2,0.25
Shopping,OutdoorSeating,False,,1-2,0.125
Shopping,OutdoorSeating,False,,2-3,1.2286860581745236
Shopping,OutdoorSeating,True,,2-3,0.3510531594784353
Shopping,OutdoorSeating,,,2-3,0.0501504513540621
Shopping,OutdoorSeating,False,,3-4,2.937229759952289
Shopping,OutdoorSeating,True,,3-4,1.0138661100342925
Shopping,OutdoorSeating,,,3-4,0.0894587744147905
Shopping,OutdoorSeating,True,,4-5,2.591192170818505
Shopping,OutdoorSeating,False,,4-5,2.0907473309608537
Shopping,OutdoorSeating,,,4-5,0.1890569395017793
Shopping,HasTV,False,,1-2,0.125
Shopping,HasTV,False,,2-3,1.0030090270812435
Shopping,HasTV,True,,2-3,0.551654964894684
Shopping,HasTV,False,,3-4,2.340837930520352
Shopping,HasTV,True,,3-4,1.13314447592068
Shopping,HasTV,True,,4-5,2.0907473309608537
Shopping,HasTV,False,,4-5,1.8683274021352312
Shopping,WiFi,u'no',,1-2,1.0
Shopping,WiFi,'free',,1-2,0.5
Shopping,WiFi,u'free',,1-2,0.25
Shopping,WiFi,u'free',,2-3,3.0341023069207624
Shopping,WiFi,u'no',,2-3,1.7051153460381143
Shopping,WiFi,'free',,2-3,0.2507522567703109
Shopping,WiFi,'no',,2-3,0.1253761283851554
Shopping,WiFi,u'paid',,2-3,0.025075225677031
Shopping,WiFi,u'free',,3-4,3.9212762785149846
Shopping,WiFi,u'no',,3-4,3.608170568063217
Shopping,WiFi,'free',,3-4,0.6411212166393321
Shopping,WiFi,'no',,3-4,0.3429253019233637
Shopping,WiFi,u'paid',,3-4,0.0894587744147905
Shopping,WiFi,,,3-4,0.0149097957357984
Shopping,WiFi,u'free',,4-5,7.072953736654804
Shopping,WiFi,u'no',,4-5,3.3251779359430604
Shopping,WiFi,'free',,4-5,0.722864768683274
Shopping,WiFi,'no',,4-5,0.5115658362989324
Shopping,WiFi,u'paid',,4-5,0.1112099644128114
Shopping,WiFi,,,4-5,0.0222419928825622
Shopping,WiFi,'paid',,4-5,0.0111209964412811
Shopping,Alcohol,'none',,1-2,0.125
Shopping,Alcohol,u'none',,2-3,0.3510531594784353
Shopping,Alcohol,u'beer_and_wine',,2-3,0.2006018054162487
Shopping,Alcohol,'beer_and_wine',,2-3,0.1755265797392176
Shopping,Alcohol,u'full_bar',,2-3,0.1504513540621865
Shopping,Alcohol,'none',,2-3,0.1253761283851554
Shopping,Alcohol,'full_bar',,2-3,0.1003009027081243
Shopping,Alcohol,u'none',,3-4,0.7305799910541225
Shopping,Alcohol,u'full_bar',,3-4,0.4920232592813478
Shopping,Alcohol,'beer_and_wine',,3-4,0.28328611898017
Shopping,Alcohol,'full_bar',,3-4,0.2087371403011778
Shopping,Alcohol,'none',,3-4,0.2087371403011778
Shopping,Alcohol,u'beer_and_wine',,3-4,0.1938273445653794
Shopping,Alcohol,u'none',,4-5,1.1899466192170818
Shopping,Alcohol,u'full_bar',,4-5,0.9230427046263344
Shopping,Alcohol,u'beer_and_wine',,4-5,0.6561387900355872
Shopping,Alcohol,'none',,4-5,0.5115658362989324
Shopping,Alcohol,'beer_and_wine',,4-5,0.3669928825622776
Shopping,Alcohol,'full_bar',,4-5,0.2557829181494662
Shopping,Alcohol,,,4-5,0.0111209964412811
Shopping,BusinessParking,"{'garage': False, 'street': False, 'validated': False, 'lot': False, 'valet': False}",,1-2,33.375
Shopping,BusinessParking,"{'garage': False, 'street': False, 'validated': False, 'lot': True, 'valet': False}",,1-2,23.125
Shopping,BusinessParking,,,1-2,4.375
Shopping,BusinessParking,"{'garage': False, 'street': True, 'validated': False, 'lot': False, 'valet': False}",,1-2,1.7500000000000002
Shopping,BusinessParking,"{'garage': True, 'street': False, 'validated': False, 'lot': False, 'valet': False}",,1-2,1.0
Shopping,BusinessParking,"{u'valet': False, u'garage': False, u'street': False, u'lot': True, u'validated': False}",,1-2,0.8750000000000001
Shopping,BusinessParking,"{'garage': False, 'street': True, 'validated': False, 'lot': True, 'valet': False}",,1-2,0.8750000000000001
Shopping,BusinessParking,"{u'valet': False, u'garage': False, u'street': None, u'lot': None, u'validated': None}",,1-2,0.25
Shopping,BusinessParking,"{u'valet': False, u'garage': False, u'street': True, u'lot': False, u'validated': False}",,1-2,0.125
