category,attribute,correlation,sample_size,non_null_count
Automotive,BestNights.monday,0.8660254037844385,8772,3
Automotive,BestNights.tuesday,-0.8660254037844385,8772,3
Automotive,BestNights.wednesday,-0.8660254037844385,8772,3
Automotive,BestNights.saturday,0.8660254037844385,8772,3
Automotive,Music.jukebox,0.8017837257372732,8772,5
Automotive,Music.video,-0.5784924073369803,8772,6
Automotive,Music.live,0.4894935754389833,8772,6
Automotive,AcceptsInsurance,-0.4472135954999579,8772,4
Automotive,DriveThru,-0.3597266512772967,8772,67
Automotive,RestaurantsDelivery,-0.3328975030243074,8772,725
Automotive,GoodForMeal.lunch,0.2747575204041191,8772,90
Automotive,ByAppointmentOnly,0.2700279744528392,8772,1453
Automotive,OutdoorSeating,0.2654076255266659,8772,106
Automotive,RestaurantsReservations,0.2365331267726009,8772,102
Automotive,WheelchairAccessible,-0.2271742267154253,8772,178
Automotive,Ambience.casual,0.1561254358335437,8772,130
Automotive,BikeParking,0.1177830372024268,8772,733
Automotive,BusinessParking.street,0.1100831806132512,8772,870
Automotive,GoodForMeal.dessert,0.0823368627880497,8772,88
Automotive,DogsAllowed,0.0785105807745393,8772,102
Automotive,Ambience.intimate,0.0771436662951905,8772,130
Automotive,Ambience.trendy,0.0771436662951904,8772,130
Automotive,RestaurantsTakeOut,0.0747415913015525,8772,770
Automotive,GoodForKids,0.0703705152895253,8772,147
Automotive,RestaurantsTableService,0.0688972818261939,8772,21
Automotive,GoodForMeal.dinner,0.0658293754611136,8772,90
Automotive,BusinessAcceptsBitcoin,0.0590662670285901,8772,321
Automotive,HasTV,0.0579114297883833,8772,115
Automotive,BusinessParking.garage,0.0578012311044737,8772,899
Automotive,HappyHour,0.0544841613136979,8772,16
Automotive,BusinessParking.valet,0.0517030552305142,8772,908
Automotive,BusinessParking.validated,0.0480901935791539,8772,872
Automotive,Caters,-0.0439313883298078,8772,305
Automotive,GoodForMeal.breakfast,0.0418961425019121,8772,88
Automotive,GoodForMeal.latenight,0.0324491641666517,8772,87
Automotive,GoodForMeal.brunch,0.0282648931958975,8772,88
Automotive,Ambience.classy,0.0267915978870942,8772,131
Automotive,RestaurantsGoodForGroups,0.0207395732876693,8772,94
Automotive,RestaurantsPriceRange2,0.017840323911165,8772,808
Automotive,BusinessAcceptsCreditCards,-0.007809487230513,8772,8649
Automotive,BusinessParking.lot,0.0037089749594718,8772,888
Automotive,BestNights.thursday,0.0,8772,3
Automotive,Ambience.romantic,,8772,131
Automotive,Ambience.hipster,,8772,130
Automotive,Ambience.divey,,8772,129
Automotive,Ambience.touristy,,8772,130
Automotive,Ambience.upscale,,8772,131
Automotive,GoodForDancing,,8772,6
Automotive,BestNights.friday,,8772,3
Automotive,BestNights.sunday,,8772,3
Automotive,Music.dj,,8772,6
Automotive,Music.background_music,,8772,6
Automotive,Music.no_music,,8772,6
Automotive,Music.karaoke,,8772,6
Automotive,CoatCheck,,8772,8
Automotive,BYOB,,8772,3
