category,attribute,correlation,sample_size,non_null_count
Bars,RestaurantsCounterService,1.0000000000000002,10987,3
Bars,HairSpecializesIn.coloring,0.870388279778489,10987,4
Bars,HairSpecializesIn.extensions,0.870388279778489,10987,4
Bars,HairSpecializesIn.straightperms,0.5222329678670934,10987,4
Bars,HairSpecializesIn.perms,0.5222329678670934,10987,4
Bars,HairSpecializesIn.asian,-0.5222329678670934,10987,4
Bars,DietaryRestrictions.vegetarian,0.316227766016838,10987,6
Bars,DietaryRestrictions.gluten-free,-0.3162277660168379,10987,6
Bars,HairSpecializesIn.africanamerican,-0.3015113445777634,10987,4
Bars,Open24Hours,-0.2581988897471612,10987,8
Bars,Ambience.classy,0.2363855648603578,10987,8731
Bars,BusinessParking.street,0.212074944310173,10987,9547
Bars,HasTV,-0.2021529546364169,10987,10010
Bars,DogsAllowed,0.1801814579812801,10987,3416
Bars,HairSpecializesIn.kids,0.174077655955698,10987,4
Bars,Ambience.hipster,0.1484593211164583,10987,8273
Bars,HappyHour,-0.1455608418154876,10987,6697
Bars,Music.dj,-0.145500925330427,10987,6248
Bars,BikeParking,0.1362260980536405,10987,8653
Bars,Ambience.trendy,0.1338907606883135,10987,8083
Bars,GoodForMeal.brunch,0.128415035473545,10987,4452
Bars,Ambience.intimate,0.1274951433733522,10987,8566
Bars,Corkage,0.1132149655974573,10987,996
Bars,OutdoorSeating,0.108893757483718,10987,9719
Bars,GoodForDancing,-0.1057376978751948,10987,4351
Bars,GoodForKids,-0.0970605648050916,10987,7337
Bars,DriveThru,0.0936467302666213,10987,651
Bars,Ambience.romantic,0.0888453975729717,10987,8748
Bars,ByAppointmentOnly,0.0755701335383107,10987,1656
Bars,GoodForMeal.dinner,0.0694018840795803,10987,5453
Bars,WheelchairAccessible,-0.0662408503280433,10987,4321
Bars,Ambience.upscale,0.0652837852478108,10987,8868
Bars,BusinessParking.lot,-0.0642276794227678,10987,9711
Bars,GoodForMeal.latenight,-0.0641596076458603,10987,4330
Bars,RestaurantsTakeOut,-0.0601182562088543,10987,7890
Bars,BYOB,0.0555737531093525,10987,1456
Bars,Ambience.casual,-0.0544934998790419,10987,9023
Bars,GoodForMeal.dessert,-0.0463800675168947,10987,4202
Bars,Ambience.touristy,-0.0418391899017775,10987,8644
Bars,GoodForMeal.lunch,-0.0413317172190797,10987,4693
Bars,BestNights.tuesday,-0.039813873793202,10987,5402
Bars,Ambience.divey,0.0391641854721161,10987,8269
Bars,GoodForMeal.breakfast,0.0364991959818209,10987,4871
Bars,RestaurantsPriceRange2,-0.0334934223074385,10987,9630
Bars,Caters,0.0331430027590749,10987,6483
Bars,BusinessAcceptsCreditCards,-0.0315012417966214,10987,9950
Bars,BestNights.sunday,-0.0311457601807517,10987,5402
Bars,RestaurantsTableService,-0.0299633132789959,10987,4573
Bars,Music.karaoke,-0.0258475500250271,10987,5354
Bars,Music.live,0.0257529883167503,10987,6275
Bars,BestNights.wednesday,-0.0213243332031156,10987,5402
Bars,BusinessParking.garage,0.0199606273991582,10987,9674
Bars,Music.video,-0.0196598313887859,10987,6602
Bars,Music.jukebox,0.0173423455439926,10987,5736
Bars,BusinessParking.validated,0.0161012437794142,10987,9730
Bars,BestNights.thursday,0.0108552138415486,10987,5402
Bars,BusinessParking.valet,0.0101016423134029,10987,10073
Bars,BestNights.monday,-0.0098454448199911,10987,5402
Bars,Music.background_music,0.0090650807041896,10987,6600
Bars,RestaurantsGoodForGroups,-0.0078806885737449,10987,9399
Bars,BestNights.saturday,0.0062834956156772,10987,5402
Bars,CoatCheck,0.0058315910666894,10987,4595
Bars,RestaurantsDelivery,0.0028418639947688,10987,7330
Bars,BusinessAcceptsBitcoin,0.0027402305656107,10987,2340
Bars,BestNights.friday,-0.0016097831515758,10987,5402
Bars,RestaurantsReservations,0.0010758672012908,10987,9112
Bars,Music.no_music,,10987,6416
Bars,HairSpecializesIn.curly,,10987,4
Bars,DietaryRestrictions.dairy-free,,10987,6
Bars,DietaryRestrictions.vegan,,10987,6
Bars,DietaryRestrictions.kosher,,10987,6
Bars,DietaryRestrictions.halal,,10987,6
Bars,DietaryRestrictions.soy-free,,10987,6
Bars,AcceptsInsurance,,10987,6
