category,attribute,correlation,sample_size,non_null_count
Beauty & Spas,BYOB,-0.7661308776828735,13777,6
Beauty & Spas,BestNights.thursday,0.5962847939999438,13777,10
Beauty & Spas,BestNights.saturday,-0.4472135954999578,13777,10
Beauty & Spas,RestaurantsReservations,0.4133169197977108,13777,137
Beauty & Spas,GoodForMeal.dessert,-0.4118890039493357,13777,21
Beauty & Spas,GoodForMeal.latenight,-0.4101668898430896,13777,24
Beauty & Spas,BestNights.sunday,-0.3726779962499649,13777,10
Beauty & Spas,BestNights.friday,-0.3726779962499648,13777,10
Beauty & Spas,GoodForMeal.breakfast,-0.3429027312917917,13777,24
Beauty & Spas,GoodForMeal.brunch,-0.3382628692414864,13777,23
Beauty & Spas,RestaurantsTakeOut,-0.3227346259980698,13777,555
Beauty & Spas,GoodForDancing,0.3202563076101744,13777,10
Beauty & Spas,ByAppointmentOnly,0.287788759673205,13777,12845
Beauty & Spas,Ambience.intimate,0.2836368791730953,13777,51
Beauty & Spas,HairSpecializesIn.kids,-0.2742000600927654,13777,1035
Beauty & Spas,HairSpecializesIn.perms,-0.2730860833753715,13777,1035
Beauty & Spas,Music.karaoke,-0.2656844656620285,13777,16
Beauty & Spas,RestaurantsGoodForGroups,0.2633697117953376,13777,56
Beauty & Spas,Music.dj,-0.2462050562005354,13777,18
Beauty & Spas,BusinessParking.street,0.2099309550313342,13777,11817
Beauty & Spas,AcceptsInsurance,-0.2046645882744536,13777,1544
Beauty & Spas,Ambience.classy,0.2036674642053777,13777,52
Beauty & Spas,Ambience.touristy,-0.1993874411339821,13777,52
Beauty & Spas,Music.live,0.1839445031180132,13777,17
Beauty & Spas,HasTV,-0.1742365720490367,13777,134
Beauty & Spas,DriveThru,-0.1708316816998274,13777,316
Beauty & Spas,BikeParking,0.1692111526310195,13777,10067
Beauty & Spas,OutdoorSeating,-0.1682845936764055,13777,138
Beauty & Spas,Ambience.upscale,0.1627641613235244,13777,51
Beauty & Spas,Ambience.divey,-0.1540912490371446,13777,50
Beauty & Spas,RestaurantsTableService,-0.15356479977354,13777,88
Beauty & Spas,HairSpecializesIn.extensions,-0.1526141827703852,13777,1035
Beauty & Spas,DogsAllowed,0.1518049982484578,13777,304
Beauty & Spas,GoodForMeal.lunch,-0.1478442541909146,13777,24
Beauty & Spas,GoodForKids,0.1430410042593684,13777,3800
Beauty & Spas,Caters,0.1326557379594232,13777,259
Beauty & Spas,Ambience.romantic,-0.1205086037250929,13777,51
Beauty & Spas,Ambience.trendy,0.1189435569234683,13777,51
Beauty & Spas,HairSpecializesIn.curly,-0.1108336479745289,13777,1035
Beauty & Spas,BusinessParking.lot,0.0971502340505971,13777,11838
Beauty & Spas,WheelchairAccessible,-0.0945388863206182,13777,4808
Beauty & Spas,HairSpecializesIn.africanamerican,-0.086538399726173,13777,1002
Beauty & Spas,GoodForMeal.dinner,-0.0833333333333332,13777,25
Beauty & Spas,BusinessAcceptsCreditCards,-0.0825745694959561,13777,12814
Beauty & Spas,HairSpecializesIn.coloring,-0.076679232526002,13777,1035
Beauty & Spas,Ambience.casual,0.0740059207104947,13777,51
Beauty & Spas,HairSpecializesIn.asian,0.048945525906605,13777,1002
Beauty & Spas,Music.background_music,0.0447725574597779,13777,17
Beauty & Spas,BusinessParking.garage,0.0344350051544408,13777,11847
Beauty & Spas,CoatCheck,-0.0337279638004703,13777,84
Beauty & Spas,RestaurantsDelivery,0.0328814440024338,13777,542
Beauty & Spas,HappyHour,-0.031226347484019,13777,98
Beauty & Spas,BusinessAcceptsBitcoin,0.0295729945362656,13777,2184
Beauty & Spas,BusinessParking.validated,0.0198537673598467,13777,11835
Beauty & Spas,HairSpecializesIn.straightperms,-0.0152180996163527,13777,1002
Beauty & Spas,RestaurantsPriceRange2,-0.0127932274070814,13777,11279
Beauty & Spas,BusinessParking.valet,0.0041734318797609,13777,11860
Beauty & Spas,BestNights.tuesday,-5.4173336536041566e-17,13777,10
Beauty & Spas,BestNights.wednesday,-2.5337258102033824e-17,13777,10
Beauty & Spas,Music.no_music,,13777,16
Beauty & Spas,Music.jukebox,,13777,15
Beauty & Spas,Music.video,,13777,17
Beauty & Spas,BestNights.monday,,13777,10
Beauty & Spas,Ambience.hipster,,13777,52
Beauty & Spas,Corkage,,13777,3
