category,attribute,correlation,sample_size,non_null_count
Health & Medical,GoodForDancing,0.7559289460184544,10964,3
Health & Medical,Music.jukebox,-0.5555555555555556,10964,4
Health & Medical,RestaurantsTakeOut,0.3532876230720664,10964,595
Health & Medical,Ambience.trendy,0.3460559814362332,10964,36
Health & Medical,Music.live,0.3333333333333334,10964,4
Health & Medical,AcceptsInsurance,-0.3041808547163183,10964,5383
Health & Medical,HairSpecializesIn.straightperms,-0.2800354926854734,10964,33
Health & Medical,OutdoorSeating,0.2726798900957786,10964,58
Health & Medical,RestaurantsDelivery,-0.2698114126708534,10964,560
Health & Medical,DriveThru,-0.2627776871776372,10964,360
Health & Medical,Ambience.hipster,0.2411775054005131,10964,36
Health & Medical,Ambience.upscale,0.241177505400513,10964,36
Health & Medical,BusinessParking.street,0.2224373861200573,10964,3377
Health & Medical,HasTV,-0.2207203763379878,10964,48
Health & Medical,HairSpecializesIn.africanamerican,-0.2078272148501062,10964,33
Health & Medical,HairSpecializesIn.kids,-0.2038708508296168,10964,35
Health & Medical,Ambience.classy,0.202731864710131,10964,35
Health & Medical,CoatCheck,-0.1980295085953347,10964,7
Health & Medical,BikeParking,0.1710863159577452,10964,2911
Health & Medical,Ambience.intimate,0.1555745203191995,10964,35
Health & Medical,WheelchairAccessible,-0.1555628788523182,10964,1899
Health & Medical,RestaurantsReservations,0.1349398169879974,10964,41
Health & Medical,ByAppointmentOnly,0.1277212031160504,10964,9656
Health & Medical,GoodForKids,0.1167290292910559,10964,612
Health & Medical,HappyHour,-0.1049185967152844,10964,23
Health & Medical,HairSpecializesIn.asian,-0.1000203201346921,10964,33
Health & Medical,RestaurantsPriceRange2,-0.0901290492782791,10964,2724
Health & Medical,Ambience.casual,0.0868239019441847,10964,36
Health & Medical,RestaurantsGoodForGroups,0.069579541056407,10964,30
Health & Medical,GoodForMeal.dinner,0.0603835242964843,10964,23
Health & Medical,GoodForMeal.lunch,-0.0585453316368249,10964,22
Health & Medical,Caters,-0.0579792911290735,10964,133
Health & Medical,HairSpecializesIn.extensions,-0.0572514033151663,10964,35
Health & Medical,BusinessParking.lot,0.052878820540229,10964,3394
Health & Medical,BusinessParking.garage,0.0505523383800498,10964,3400
Health & Medical,DogsAllowed,0.0489656953231261,10964,386
Health & Medical,BusinessAcceptsBitcoin,0.0473582951671436,10964,777
Health & Medical,HairSpecializesIn.curly,0.0405905366862118,10964,35
Health & Medical,HairSpecializesIn.perms,-0.0404948950278006,10964,35
Health & Medical,HairSpecializesIn.coloring,-0.0366398976559525,10964,35
Health & Medical,BusinessParking.valet,0.031013862939607,10964,3411
Health & Medical,BusinessParking.validated,0.0254041284443514,10964,3395
Health & Medical,GoodForMeal.breakfast,-0.0217104210716211,10964,23
Health & Medical,RestaurantsTableService,-0.0197700282251952,10964,24
Health & Medical,BusinessAcceptsCreditCards,-0.0077260978547772,10964,8941
Health & Medical,Ambience.romantic,,10964,36
Health & Medical,Ambience.touristy,,10964,36
Health & Medical,Ambience.divey,,10964,35
Health & Medical,GoodForMeal.dessert,,10964,20
Health & Medical,GoodForMeal.latenight,,10964,22
Health & Medical,GoodForMeal.brunch,,10964,22
Health & Medical,Music.dj,,10964,4
Health & Medical,Music.background_music,,10964,4
Health & Medical,Music.no_music,,10964,4
Health & Medical,Music.video,,10964,4
Health & Medical,Music.karaoke,,10964,4
