category,attribute,correlation,sample_size,non_null_count
Nightlife,RestaurantsCounterService,1.0000000000000002,12182,3
Nightlife,HairSpecializesIn.coloring,0.8749999999999999,12182,5
Nightlife,HairSpecializesIn.extensions,0.8749999999999999,12182,5
Nightlife,HairSpecializesIn.straightperms,0.6123724356957946,12182,5
Nightlife,Open24Hours,-0.4780914437337574,12182,9
Nightlife,AcceptsInsurance,-0.4285714285714284,12182,8
Nightlife,HairSpecializesIn.africanamerican,-0.4082482904638627,12182,5
Nightlife,DietaryRestrictions.vegetarian,0.3999999999999999,12182,7
Nightlife,HairSpecializesIn.perms,0.3750000000000003,12182,5
Nightlife,HairSpecializesIn.asian,-0.3749999999999998,12182,5
Nightlife,DietaryRestrictions.dairy-free,0.2581988897471612,12182,7
Nightlife,DietaryRestrictions.vegan,0.2581988897471612,12182,7
Nightlife,DietaryRestrictions.gluten-free,-0.258198889747161,12182,7
Nightlife,Ambience.classy,0.2177909602173612,12182,9482
Nightlife,HasTV,-0.2091911473319812,12182,10863
Nightlife,BusinessParking.street,0.2077625217208669,12182,10492
Nightlife,DogsAllowed,0.1784922953637794,12182,3611
Nightlife,HappyHour,-0.1554930202594562,12182,7075
Nightlife,Music.dj,-0.155302342088197,12182,6693
Nightlife,Ambience.hipster,0.1441970937728191,12182,9011
Nightlife,BikeParking,0.1433253218401707,12182,9431
Nightlife,GoodForMeal.brunch,0.1315863619062271,12182,4595
Nightlife,Ambience.intimate,0.1228658430880355,12182,9296
Nightlife,Ambience.trendy,0.1205237464667391,12182,8791
Nightlife,DriveThru,0.1124529266716753,12182,671
Nightlife,Corkage,0.1113566364371121,12182,1019
Nightlife,OutdoorSeating,0.1081733836792967,12182,10611
Nightlife,GoodForDancing,-0.1073769482437436,12182,4604
Nightlife,HairSpecializesIn.kids,-0.1020620726159656,12182,5
Nightlife,ByAppointmentOnly,0.1019844755021279,12182,1824
Nightlife,Ambience.romantic,0.0867499877407286,12182,9497
Nightlife,GoodForMeal.latenight,-0.0678407471874191,12182,4472
Nightlife,GoodForKids,-0.0674869050150112,12182,8078
Nightlife,GoodForMeal.dinner,0.061624472998611,12182,5608
Nightlife,BYOB,0.0613572691227927,12182,1489
Nightlife,WheelchairAccessible,-0.0612617035730117,12182,4618
Nightlife,Ambience.upscale,0.0601656995009667,12182,9621
Nightlife,BusinessParking.lot,-0.057776345218587,12182,10673
Nightlife,RestaurantsPriceRange2,-0.0553785751475129,12182,10582
Nightlife,RestaurantsTakeOut,-0.0516042011811146,12182,8259
Nightlife,GoodForMeal.dessert,-0.0466254513315932,12182,4335
Nightlife,GoodForMeal.lunch,-0.0424448406763711,12182,4841
Nightlife,Ambience.casual,-0.042082179335881,12182,9781
Nightlife,GoodForMeal.breakfast,0.041052035959085,12182,5026
Nightlife,Ambience.touristy,-0.0399243501453515,12182,9385
Nightlife,RestaurantsTableService,-0.0387508393131292,12182,4692
Nightlife,BestNights.tuesday,-0.0376190189926907,12182,5674
Nightlife,Music.live,0.0365430366950703,12182,6715
Nightlife,BestNights.sunday,-0.0317983707111756,12182,5674
Nightlife,Ambience.divey,0.0305585583051589,12182,8981
Nightlife,BusinessAcceptsCreditCards,-0.0274460498730582,12182,10991
Nightlife,Caters,0.0272418960927058,12182,6763
Nightlife,BusinessParking.garage,0.0241625030552434,12182,10629
Nightlife,Music.karaoke,-0.0241222989494223,12182,5772
Nightlife,BestNights.wednesday,-0.0214185651067169,12182,5674
Nightlife,Music.video,-0.0194555254853494,12182,7052
Nightlife,BusinessParking.validated,0.0185373453596349,12182,10690
Nightlife,Music.jukebox,0.0127858417166942,12182,6170
Nightlife,BusinessAcceptsBitcoin,0.0126711112157898,12182,2540
Nightlife,Music.background_music,0.0126171024308357,12182,7050
Nightlife,BestNights.thursday,0.0114105596876827,12182,5674
Nightlife,BestNights.monday,-0.011053453232686,12182,5674
Nightlife,BusinessParking.valet,0.0085246993112262,12182,11052
Nightlife,RestaurantsDelivery,0.0080200169773923,12182,7661
Nightlife,BestNights.saturday,0.0078790848323849,12182,5674
Nightlife,RestaurantsReservations,-0.0034217984634934,12182,9420
Nightlife,BestNights.friday,0.000877417833919,12182,5674
Nightlife,CoatCheck,0.0003770113603979,12182,4809
Nightlife,RestaurantsGoodForGroups,-8.048314334890392e-05,12182,10268
Nightlife,Music.no_music,,12182,6846
Nightlife,HairSpecializesIn.curly,,12182,5
Nightlife,DietaryRestrictions.kosher,,12182,7
Nightlife,DietaryRestrictions.halal,,12182,7
Nightlife,DietaryRestrictions.soy-free,,12182,7
