category,attribute,correlation,sample_size,non_null_count
Restaurants,DriveThru,-0.5109051742336559,51537,5868
Restaurants,DietaryRestrictions.gluten-free,-0.3672099091921498,51537,29
Restaurants,Open24Hours,-0.3108213427690304,51537,21
Restaurants,DietaryRestrictions.soy-free,-0.260015716980576,51537,29
Restaurants,BusinessParking.street,0.2400146486136032,51537,42376
Restaurants,DietaryRestrictions.vegetarian,-0.2392371882346727,51537,29
Restaurants,DietaryRestrictions.dairy-free,-0.2278663575938249,51537,29
Restaurants,DietaryRestrictions.halal,0.2096569673443836,51537,29
Restaurants,HappyHour,-0.1930606873711871,51537,13007
Restaurants,Ambience.classy,0.1891117999466747,51537,37662
Restaurants,Ambience.casual,0.1840326333617681,51537,39085
Restaurants,RestaurantsPriceRange2,0.1719934743231455,51537,44484
Restaurants,Caters,0.1696582063777973,51537,34523
Restaurants,RestaurantsCounterService,0.1656472891122699,51537,18
Restaurants,OutdoorSeating,0.16167217174139,51537,41882
Restaurants,BikeParking,0.1560855892244799,51537,35449
Restaurants,HasTV,-0.1517536579456475,51537,41899
Restaurants,RestaurantsReservations,0.1459183218279914,51537,42857
Restaurants,DogsAllowed,0.1435132448039878,51537,11463
Restaurants,Ambience.trendy,0.140704671657058,51537,36066
Restaurants,GoodForMeal.dinner,0.1337290465660639,51537,27201
Restaurants,GoodForMeal.lunch,0.1332498695535318,51537,26158
Restaurants,AcceptsInsurance,-0.1209307170280604,51537,19
Restaurants,RestaurantsDelivery,-0.1207175363059136,51537,45058
Restaurants,BYOB,0.1191375001057446,51537,4211
Restaurants,Ambience.hipster,0.1130111712100045,51537,36975
Restaurants,GoodForDancing,-0.1078997357833578,51537,3595
Restaurants,Ambience.intimate,0.1011163589663831,51537,37084
Restaurants,GoodForMeal.brunch,0.0882391652113926,51537,24955
Restaurants,BusinessAcceptsCreditCards,-0.0847132886022538,51537,45531
Restaurants,Music.dj,-0.0841296229683803,51537,4894
Restaurants,Ambience.romantic,0.0713884490533316,51537,37940
Restaurants,CoatCheck,0.0697364032283948,51537,4278
Restaurants,WheelchairAccessible,-0.0512374338900821,51537,13546
Restaurants,GoodForMeal.latenight,-0.0510055190616913,51537,24809
Restaurants,RestaurantsTakeOut,0.0509170248718712,51537,47628
Restaurants,BestNights.tuesday,-0.0504838282062377,51537,4502
Restaurants,RestaurantsGoodForGroups,0.0502204795517286,51537,41419
Restaurants,Ambience.upscale,0.0497949283365137,51537,38342
Restaurants,RestaurantsTableService,0.045987899464757,51537,19722
Restaurants,Corkage,0.0457676269585277,51537,3421
Restaurants,BusinessParking.garage,0.0439746684423817,51537,43387
Restaurants,Ambience.divey,0.0371081714864579,51537,35932
Restaurants,BestNights.wednesday,-0.0345967183508421,51537,4502
Restaurants,Music.live,0.0311065902298032,51537,4981
Restaurants,Music.video,-0.0300130713682195,51537,5209
Restaurants,ByAppointmentOnly,0.0268230098226148,51537,3345
Restaurants,BestNights.sunday,-0.0260596377920615,51537,4502
Restaurants,DietaryRestrictions.vegan,0.0240384615384616,51537,29
Restaurants,BusinessParking.validated,0.0220644125043484,51537,43234
Restaurants,GoodForMeal.breakfast,0.0214002123041543,51537,26094
Restaurants,Music.karaoke,-0.0212277116178116,51537,4167
Restaurants,BusinessParking.valet,0.019569081670001,51537,44870
Restaurants,GoodForKids,-0.0144961144013477,51537,40955
Restaurants,Music.background_music,0.0144876211349452,51537,5208
Restaurants,BestNights.thursday,0.0124381296376097,51537,4502
Restaurants,BestNights.friday,0.010096365638447,51537,4502
Restaurants,Ambience.touristy,-0.0097248049037062,51537,37664
Restaurants,BestNights.monday,-0.0094323668357637,51537,4502
Restaurants,BestNights.saturday,0.009173540454911,51537,4502
Restaurants,Music.jukebox,-0.0012927941748189,51537,4411
Restaurants,BusinessParking.lot,-0.0004609659494398,51537,43136
Restaurants,GoodForMeal.dessert,-0.0002258189171388,51537,23960
Restaurants,BusinessAcceptsBitcoin,-0.0001360498735359,51537,6729
Restaurants,Music.no_music,,51537,5053
Restaurants,DietaryRestrictions.kosher,,51537,29
