category,attribute,correlation,sample_size,non_null_count
Shopping,DriveThru,-0.4059340078749478,23387,698
Shopping,HappyHour,0.3745863754954018,23387,438
Shopping,HairSpecializesIn.perms,-0.325241548869066,23387,126
Shopping,HairSpecializesIn.extensions,-0.3172726176813467,23387,126
Shopping,HairSpecializesIn.africanamerican,-0.2673722377910607,23387,120
Shopping,HairSpecializesIn.kids,-0.2663296265120352,23387,126
Shopping,OutdoorSeating,0.2569187316523708,23387,828
Shopping,BusinessParking.street,0.2523190736398077,23387,18728
Shopping,DogsAllowed,0.2515011612273123,23387,3222
Shopping,HairSpecializesIn.curly,-0.2127354960977502,23387,126
Shopping,RestaurantsTableService,0.2095507728689742,23387,340
Shopping,HairSpecializesIn.straightperms,-0.203836231448405,23387,120
Shopping,AcceptsInsurance,-0.1953741347819386,23387,570
Shopping,BestNights.thursday,-0.1946985875859057,23387,99
Shopping,HasTV,0.185844458440371,23387,701
Shopping,Corkage,-0.1694287375988922,23387,46
Shopping,Ambience.classy,0.1670579008203531,23387,465
Shopping,BikeParking,0.1629718606419016,23387,16252
Shopping,RestaurantsReservations,0.1540605171944954,23387,656
Shopping,CoatCheck,0.1334145158891364,23387,283
Shopping,BestNights.sunday,-0.1325210440501702,23387,99
Shopping,GoodForMeal.brunch,0.1305138302449164,23387,206
Shopping,Music.live,0.1255946206298883,23387,149
Shopping,HairSpecializesIn.asian,-0.1245676494406066,23387,120
Shopping,GoodForDancing,-0.1230237686741522,23387,95
Shopping,RestaurantsTakeOut,0.1202598891443042,23387,3092
Shopping,HairSpecializesIn.coloring,-0.1189277712400963,23387,126
Shopping,BestNights.wednesday,0.1186428490302562,23387,99
Shopping,WheelchairAccessible,-0.1161968153373257,23387,6133
Shopping,Music.jukebox,-0.1142770685456569,23387,146
Shopping,Music.background_music,-0.0921189720444927,23387,152
Shopping,Music.dj,-0.0917156963994956,23387,155
Shopping,RestaurantsDelivery,-0.0885180507458524,23387,2958
Shopping,GoodForMeal.dessert,0.0872844974538806,23387,201
Shopping,BestNights.saturday,-0.0861118029440207,23387,99
Shopping,Music.karaoke,-0.0847428592521863,23387,141
Shopping,GoodForMeal.dinner,-0.0828769640874106,23387,217
Shopping,GoodForMeal.breakfast,0.0810977843591777,23387,216
Shopping,GoodForMeal.lunch,0.0793424586123673,23387,209
Shopping,ByAppointmentOnly,0.0693380390667559,23387,8571
Shopping,Ambience.hipster,0.0684617773540459,23387,460
Shopping,Ambience.intimate,0.0651575350876202,23387,458
Shopping,RestaurantsPriceRange2,-0.0592166419163691,23387,18690
Shopping,BYOB,0.0588463892392877,23387,59
Shopping,Ambience.trendy,0.0575238437993767,23387,456
Shopping,Ambience.casual,0.0557780888114896,23387,466
Shopping,RestaurantsGoodForGroups,-0.0537665071586896,23387,511
Shopping,Caters,0.049932841944264,23387,1522
Shopping,BusinessParking.lot,-0.0440697815282074,23387,18803
Shopping,Ambience.touristy,-0.0434676091083931,23387,458
Shopping,BestNights.monday,-0.0419459413486085,23387,99
Shopping,BusinessParking.validated,0.0379691481170181,23387,18800
Shopping,BestNights.friday,-0.0363272623709626,23387,99
Shopping,GoodForKids,0.0362048937399475,23387,2130
Shopping,BusinessAcceptsCreditCards,-0.0350718276278631,23387,21675
Shopping,BusinessParking.garage,0.0304589755277932,23387,18832
Shopping,Ambience.upscale,0.025038282344481,23387,463
Shopping,BusinessParking.valet,0.0202382651945424,23387,18904
Shopping,GoodForMeal.latenight,-0.0185596659718624,23387,209
Shopping,BestNights.tuesday,-0.0183778783471505,23387,99
Shopping,Ambience.romantic,-0.0178509787917891,23387,462
Shopping,BusinessAcceptsBitcoin,0.0119243655946217,23387,3353
Shopping,Open24Hours,-0.0059388244939592,23387,16
Shopping,Ambience.divey,-0.0054262278862629,23387,456
Shopping,Music.no_music,,23387,145
Shopping,Music.video,,23387,152
